Country,Continent,Year,GDP_per_capita,life_expectancy,Population
Afghanistan,Asia,1950,757,26.674,8151455
Afghanistan,Asia,1951,767,26.932,8276820
Afghanistan,Asia,1952,779,27.448,8407148
Afghanistan,Asia,1953,813,27.964,8542906
Afghanistan,Asia,1954,815,28.48,8684494
Afghanistan,Asia,1955,816,28.995,8832253
Afghanistan,Asia,1956,837,29.511,8986449
Afghanistan,Asia,1957,821,30.027,9147286
Afghanistan,Asia,1958,850,30.543,9314915
Afghanistan,Asia,1959,856,31.059,9489453
Afghanistan,Asia,1960,868,31.575,9671046
Afghanistan,Asia,1961,857,32.091,9859928
Afghanistan,Asia,1962,853,32.608,10056480
Afghanistan,Asia,1963,849,33.124,10261254
Afghanistan,Asia,1964,846,33.639,10474903
Afghanistan,Asia,1965,845,34.152,10697983
Afghanistan,Asia,1966,834,34.662,10927724
Afghanistan,Asia,1967,836,35.17,11163656
Afghanistan,Asia,1968,845,35.674,11411022
Afghanistan,Asia,1969,838,36.172,11676990
Afghanistan,Asia,1970,833,36.663,11964906
Afghanistan,Asia,1971,774,37.143,12273101
Afghanistan,Asia,1972,740,37.614,12593688
Afghanistan,Asia,1973,803,38.075,12915499
Afghanistan,Asia,1974,826,38.529,13223928
Afghanistan,Asia,1975,846,38.977,13505544
Afghanistan,Asia,1976,866,39.417,13766792
Afghanistan,Asia,1977,786,39.855,14003408
Afghanistan,Asia,1978,827,40.298,14179656
Afghanistan,Asia,1979,809,40.756,14249493
Afghanistan,Asia,1980,810,41.242,14185729
Afghanistan,Asia,1981,897,41.77,13984092
Afghanistan,Asia,1982,978,42.347,13672870
Afghanistan,Asia,1983,1013,42.977,13300056
Afghanistan,Asia,1984,995,43.661,12931791
Afghanistan,Asia,1985,962,44.4,12625292
Afghanistan,Asia,1986,1031,45.192,12372113
Afghanistan,Asia,1987,852,46.024,12183387
Afghanistan,Asia,1988,770,46.88,12156685
Afghanistan,Asia,1989,751,47.744,12414686
Afghanistan,Asia,1990,710,48.601,13032161
Afghanistan,Asia,1991,705,49.439,14069854
Afghanistan,Asia,1992,649,50.247,15472076
Afghanistan,Asia,1993,559,51.017,17053213
Afghanistan,Asia,1994,500,51.738,18553819
Afghanistan,Asia,1995,602,52.4,19789880
Afghanistan,Asia,1996,618,52.995,20684982
Afghanistan,Asia,1997,635,53.527,21299350
Afghanistan,Asia,1998,653,54.009,21752257
Afghanistan,Asia,1999,671,54.449,22227543
Afghanistan,Asia,2000,664,54.863,22856302
Afghanistan,Asia,2001,595,55.271,23677385
Afghanistan,Asia,2002,727,55.687,24639841
Afghanistan,Asia,2003,785,56.122,25678639
Afghanistan,Asia,2004,805,56.583,26693486
Afghanistan,Asia,2005,874,57.071,27614718
Afghanistan,Asia,2006,888,57.582,28420974
Afghanistan,Asia,2007,984,58.102,29145841
Afghanistan,Asia,2008,985,58.618,29839994
Afghanistan,Asia,2009,1155,59.124,30577756
Afghanistan,Asia,2010,1215,59.612,31411743
Afghanistan,Asia,2011,1261,60.079,32358260
Afghanistan,Asia,2012,1350,60.524,33397058
Albania,Europe,1950,1532,54.191,1215002
Albania,Europe,1951,1598,54.399,1239971
Albania,Europe,1952,1601,54.876,1269302
Albania,Europe,1953,1666,55.471,1302536
Albania,Europe,1954,1715,56.184,1339240
Albania,Europe,1955,1807,57.012,1378998
Albania,Europe,1956,1825,57.947,1421417
Albania,Europe,1957,1942,58.976,1466124
Albania,Europe,1958,2030,60.073,1512765
Albania,Europe,1959,2113,61.196,1561012
Albania,Europe,1960,2220,62.293,1610565
Albania,Europe,1961,2239,63.313,1661158
Albania,Europe,1962,2313,64.202,1712563
Albania,Europe,1963,2392,64.926,1764593
Albania,Europe,1964,2474,65.475,1817098
Albania,Europe,1965,2564,65.863,1869942
Albania,Europe,1966,2660,66.122,1922993
Albania,Europe,1967,2760,66.316,1976140
Albania,Europe,1968,2860,66.5,2029314
Albania,Europe,1969,2957,66.702,2082474
Albania,Europe,1970,3066,66.948,2135599
Albania,Europe,1971,3189,67.251,2188650
Albania,Europe,1972,3313,67.595,2241623
Albania,Europe,1973,3478,67.966,2294578
Albania,Europe,1974,3491,68.356,2347607
Albania,Europe,1975,3504,68.748,2400801
Albania,Europe,1976,3518,69.121,2454255
Albania,Europe,1977,3533,69.459,2508026
Albania,Europe,1978,3549,69.753,2562121
Albania,Europe,1979,3567,70.001,2616530
Albania,Europe,1980,3592,70.218,2671300
Albania,Europe,1981,3611,70.426,2725029
Albania,Europe,1982,3631,70.646,2777592
Albania,Europe,1983,3652,70.886,2831682
Albania,Europe,1984,3673,71.144,2891004
Albania,Europe,1985,3692,71.398,2957390
Albania,Europe,1986,3716,71.615,3033393
Albania,Europe,1987,3739,71.77,3116009
Albania,Europe,1988,3763,71.853,3194854
Albania,Europe,1989,3791,71.87,3255859
Albania,Europe,1990,3825,71.842,3289483
Albania,Europe,1991,2718,71.799,3291695
Albania,Europe,1992,2497,71.779,3266983
Albania,Europe,1993,2717,71.813,3224901
Albania,Europe,1994,2919,71.92,3179442
Albania,Europe,1995,3286,72.117,3141102
Albania,Europe,1996,3570,72.415,3112597
Albania,Europe,1997,3193,72.796,3091902
Albania,Europe,1998,3585,73.235,3079037
Albania,Europe,1999,3928,73.713,3072725
Albania,Europe,2000,4195,74.2,3071856
Albania,Europe,2001,4476,74.664,3077378
Albania,Europe,2002,4604,75.081,3089778
Albania,Europe,2003,4855,75.437,3106701
Albania,Europe,2004,5115,75.725,3124861
Albania,Europe,2005,5369,75.949,3141800
Albania,Europe,2006,5652,76.124,3156607
Albania,Europe,2007,5958,76.278,3169665
Albania,Europe,2008,6366,76.433,3181397
Albania,Europe,2009,6551,76.598,3192723
Albania,Europe,2010,6746,76.78,3204284
Albania,Europe,2011,6914,76.979,3215988
Albania,Europe,2012,6969,77.185,3227373
Algeria,Africa,1950,2429,42.089,8752997
Algeria,Africa,1951,2398,42.283,8953373
Algeria,Africa,1952,2449,42.678,9140990
Algeria,Africa,1953,2436,43.081,9326099
Algeria,Africa,1954,2558,43.493,9515990
Algeria,Africa,1955,2572,43.914,9715002
Algeria,Africa,1956,2764,44.345,9924347
Algeria,Africa,1957,3014,44.783,10142284
Algeria,Africa,1958,3060,45.229,10364614
Algeria,Africa,1959,3548,45.681,10585506
Algeria,Africa,1960,3717,46.136,10799997
Algeria,Africa,1961,3203,46.594,11006643
Algeria,Africa,1962,2551,47.051,11209845
Algeria,Africa,1963,3147,47.505,11420845
Algeria,Africa,1964,3214,47.953,11654905
Algeria,Africa,1965,3328,48.389,11923002
Algeria,Africa,1966,3071,48.806,12229853
Algeria,Africa,1967,3247,49.205,12572629
Algeria,Africa,1968,3520,49.592,12945462
Algeria,Africa,1969,3748,49.976,13338918
Algeria,Africa,1970,4004,50.366,13746185
Algeria,Africa,1971,3559,50.767,14165889
Algeria,Africa,1972,4183,51.195,14600659
Algeria,Africa,1973,4195,51.67,15052371
Algeria,Africa,1974,4321,52.213,15524137
Algeria,Africa,1975,4489,52.861,16018195
Algeria,Africa,1976,4643,53.656,16533323
Algeria,Africa,1977,4910,54.605,17068212
Algeria,Africa,1978,5373,55.697,17624756
Algeria,Africa,1979,5682,56.907,18205468
Algeria,Africa,1980,5610,58.198,18811199
Algeria,Africa,1981,5573,59.524,19442423
Algeria,Africa,1982,5745,60.826,20095648
Algeria,Africa,1983,5854,62.051,20762767
Algeria,Africa,1984,5987,63.16,21433070
Algeria,Africa,1985,6107,64.12,22098298
Algeria,Africa,1986,5876,64.911,22753511
Algeria,Africa,1987,5681,65.554,23398470
Algeria,Africa,1988,5416,66.072,24035237
Algeria,Africa,1989,5458,66.479,24668100
Algeria,Africa,1990,5245,66.796,25299182
Algeria,Africa,1991,5061,67.049,25930560
Algeria,Africa,1992,5023,67.265,26557969
Algeria,Africa,1993,4800,67.468,27169903
Algeria,Africa,1994,4653,67.674,27751086
Algeria,Africa,1995,4732,67.893,28291591
Algeria,Africa,1996,4824,68.123,28786855
Algeria,Africa,1997,4797,68.35,29242917
Algeria,Africa,1998,4965,68.565,29673694
Algeria,Africa,1999,5049,68.769,30099010
Algeria,Africa,2000,5099,68.963,30533827
Algeria,Africa,2001,5156,69.149,30982214
Algeria,Africa,2002,5288,69.33,31441848
Algeria,Africa,2003,5577,69.508,31913462
Algeria,Africa,2004,5791,69.682,32396048
Algeria,Africa,2005,6011,69.854,32888449
Algeria,Africa,2006,6022,70.02,33391954
Algeria,Africa,2007,6134,70.18,33906605
Algeria,Africa,2008,6163,70.332,34428028
Algeria,Africa,2009,6174,70.477,34950168
Algeria,Africa,2010,6301,70.615,35468208
Algeria,Africa,2011,6355,70.747,35980193
Algeria,Africa,2012,6419,70.874,36485828
Angola,Africa,1950,3363,29.209,4147509
Angola,Africa,1951,3441,29.407,4219332
Angola,Africa,1952,3521,29.804,4296534
Angola,Africa,1953,3599,30.201,4376947
Angola,Africa,1954,3451,30.599,4458962
Angola,Africa,1955,3672,30.997,4541519
Angola,Africa,1956,3549,31.396,4624143
Angola,Africa,1957,3828,31.796,4706909
Angola,Africa,1958,3966,32.196,4790376
Angola,Africa,1959,3918,32.597,4875462
Angola,Africa,1960,4006,32.998,4963068
Angola,Africa,1961,4464,33.399,5053693
Angola,Africa,1962,4269,33.801,5147083
Angola,Africa,1963,4414,34.203,5242084
Angola,Africa,1964,4826,34.604,5337063
Angola,Africa,1965,5102,35.007,5431135
Angola,Africa,1966,5308,35.41,5524090
Angola,Africa,1967,5523,35.816,5617242
Angola,Africa,1968,5347,36.222,5713156
Angola,Africa,1969,5408,36.627,5815282
Angola,Africa,1970,5652,37.032,5926333
Angola,Africa,1971,5526,37.439,6047736
Angola,Africa,1972,5473,37.846,6179685
Angola,Africa,1973,5722,38.247,6322194
Angola,Africa,1974,5470,38.635,6474796
Angola,Africa,1975,3431,38.998,6637419
Angola,Africa,1976,3050,39.324,6808850
Angola,Africa,1977,3009,39.605,6989988
Angola,Africa,1978,3071,39.84,7185188
Angola,Africa,1979,3065,40.029,7400231
Angola,Africa,1980,3075,40.182,7638420
Angola,Africa,1981,2953,40.311,7903368
Angola,Africa,1982,2757,40.429,8191774
Angola,Africa,1983,2585,40.547,8491682
Angola,Africa,1984,2527,40.671,8786652
Angola,Africa,1985,2493,40.794,9065562
Angola,Africa,1986,2221,40.902,9322550
Angola,Africa,1987,2430,40.988,9562796
Angola,Africa,1988,2729,41.05,9799680
Angola,Africa,1989,2731,41.1,10052567
Angola,Africa,1990,2777,41.151,10335052
Angola,Africa,1991,2731,41.221,10653515
Angola,Africa,1992,2628,41.329,11002910
Angola,Africa,1993,1870,41.495,11371750
Angola,Africa,1994,1851,41.736,11742960
Angola,Africa,1995,1989,42.073,12105105
Angola,Africa,1996,2157,42.526,12452725
Angola,Africa,1997,2277,43.088,12792237
Angola,Africa,1998,2384,43.742,13138265
Angola,Africa,1999,2417,44.468,13511575
Angola,Africa,2000,2447,45.234,13926373
Angola,Africa,2001,2480,46.004,14388244
Angola,Africa,2002,2773,46.743,14890474
Angola,Africa,2003,2785,47.425,15419943
Angola,Africa,2004,3007,48.036,15957460
Angola,Africa,2005,3533,48.572,16489021
Angola,Africa,2006,4148,49.041,17010366
Angola,Africa,2007,4950,49.471,17525367
Angola,Africa,2008,5488,49.882,18037964
Angola,Africa,2009,5476,50.286,18555115
Angola,Africa,2010,5498,50.689,19081912
Angola,Africa,2011,5547,51.094,19618432
Angola,Africa,2012,5838,51.498,20162517
Antigua and Barbuda,N. America,1950,2433,57.536,46301
Antigua and Barbuda,N. America,1951,2493,57.786,48316
Antigua and Barbuda,N. America,1952,2554,58.284,49906
Antigua and Barbuda,N. America,1953,2616,58.779,51117
Antigua and Barbuda,N. America,1954,2681,59.271,52002
Antigua and Barbuda,N. America,1955,2746,59.759,52625
Antigua and Barbuda,N. America,1956,2814,60.243,53061
Antigua and Barbuda,N. America,1957,2883,60.722,53393
Antigua and Barbuda,N. America,1958,2953,61.196,53711
Antigua and Barbuda,N. America,1959,3026,61.661,54107
Antigua and Barbuda,N. America,1960,3100,62.114,54657
Antigua and Barbuda,N. America,1961,3176,62.555,55408
Antigua and Barbuda,N. America,1962,3254,62.979,56362
Antigua and Barbuda,N. America,1963,3333,63.386,57472
Antigua and Barbuda,N. America,1964,3415,63.775,58653
Antigua and Barbuda,N. America,1965,3499,64.149,59844
Antigua and Barbuda,N. America,1966,3584,64.511,61032
Antigua and Barbuda,N. America,1967,3672,64.865,62226
Antigua and Barbuda,N. America,1968,3762,65.213,63401
Antigua and Barbuda,N. America,1969,3854,65.558,64528
Antigua and Barbuda,N. America,1970,3949,65.898,65587
Antigua and Barbuda,N. America,1971,4138,66.232,66554
Antigua and Barbuda,N. America,1972,4334,66.558,67419
Antigua and Barbuda,N. America,1973,4598,66.875,68182
Antigua and Barbuda,N. America,1974,4676,67.181,68848
Antigua and Barbuda,N. America,1975,4382,67.479,69420
Antigua and Barbuda,N. America,1976,3992,67.768,69910
Antigua and Barbuda,N. America,1977,4320,68.051,70301
Antigua and Barbuda,N. America,1978,4535,68.328,70533
Antigua and Barbuda,N. America,1979,5106,68.602,70525
Antigua and Barbuda,N. America,1980,5532,68.873,70228
Antigua and Barbuda,N. America,1981,5882,69.141,69639
Antigua and Barbuda,N. America,1982,5973,69.408,68803
Antigua and Barbuda,N. America,1983,6453,69.671,67792
Antigua and Barbuda,N. America,1984,7024,69.931,66701
Antigua and Barbuda,N. America,1985,7694,70.186,65614
Antigua and Barbuda,N. America,1986,8514,70.435,64539
Antigua and Barbuda,N. America,1987,9474,70.675,63510
Antigua and Barbuda,N. America,1988,10425,70.907,62669
Antigua and Barbuda,N. America,1989,11211,71.132,62192
Antigua and Barbuda,N. America,1990,11574,71.351,62202
Antigua and Barbuda,N. America,1991,11752,71.568,62754
Antigua and Barbuda,N. America,1992,11677,71.783,63802
Antigua and Barbuda,N. America,1993,12037,72,65238
Antigua and Barbuda,N. America,1994,12478,72.219,66895
Antigua and Barbuda,N. America,1995,11650,72.441,68642
Antigua and Barbuda,N. America,1996,12105,72.664,70450
Antigua and Barbuda,N. America,1997,12387,72.888,72322
Antigua and Barbuda,N. America,1998,12613,73.11,74190
Antigua and Barbuda,N. America,1999,12826,73.329,75985
Antigua and Barbuda,N. America,2000,12739,73.544,77656
Antigua and Barbuda,N. America,2001,12771,73.755,79165
Antigua and Barbuda,N. America,2002,12874,73.96,80507
Antigua and Barbuda,N. America,2003,13346,74.16,81716
Antigua and Barbuda,N. America,2004,14114,74.355,82838
Antigua and Barbuda,N. America,2005,14579,74.544,83916
Antigua and Barbuda,N. America,2006,16223,74.729,84952
Antigua and Barbuda,N. America,2007,17162,74.91,85935
Antigua and Barbuda,N. America,2008,17227,75.087,86881
Antigua and Barbuda,N. America,2009,15219,75.263,87802
Antigua and Barbuda,N. America,2010,13922,75.437,88710
Antigua and Barbuda,N. America,2011,13509,75.61,89612
Antigua and Barbuda,N. America,2012,13723,75.783,90510
Argentina,S. America,1950,6253,61.418,17150335
Argentina,S. America,1951,6362,61.728,17506378
Argentina,S. America,1952,5911,62.32,17865382
Argentina,S. America,1953,6108,62.855,18223955
Argentina,S. America,1954,6243,63.331,18579614
Argentina,S. America,1955,6567,63.749,18930778
Argentina,S. America,1956,6630,64.11,19276813
Argentina,S. America,1957,6857,64.414,19617988
Argentina,S. America,1958,7158,64.665,19955368
Argentina,S. America,1959,6575,64.866,20290620
Argentina,S. America,1960,6985,65.022,20625451
Argentina,S. America,1961,7367,65.142,20961000
Argentina,S. America,1962,7133,65.234,21297317
Argentina,S. America,1963,6853,65.311,21633126
Argentina,S. America,1964,7453,65.388,21966478
Argentina,S. America,1965,8022,65.481,22296628
Argentina,S. America,1966,7956,65.603,22622012
Argentina,S. America,1967,8053,65.759,22944941
Argentina,S. America,1968,8284,65.953,23273148
Argentina,S. America,1969,8871,66.184,23616971
Argentina,S. America,1970,9212,66.449,23983358
Argentina,S. America,1971,9408,66.74,24376109
Argentina,S. America,1972,9443,67.044,24791983
Argentina,S. America,1973,9633,67.349,25222223
Argentina,S. America,1974,9990,67.652,25654154
Argentina,S. America,1975,9766,67.95,26078731
Argentina,S. America,1976,9612,68.248,26492716
Argentina,S. America,1977,10079,68.549,26899177
Argentina,S. America,1978,9603,68.856,27303001
Argentina,S. America,1979,10125,69.164,27711808
Argentina,S. America,1980,10127,69.464,28131040
Argentina,S. America,1981,9422,69.746,28561561
Argentina,S. America,1982,8998,70.004,29001060
Argentina,S. America,1983,9239,70.235,29447973
Argentina,S. America,1984,9302,70.439,29899743
Argentina,S. America,1985,8526,70.624,30354240
Argentina,S. America,1986,9027,70.798,30810984
Argentina,S. America,1987,9140,70.972,31269799
Argentina,S. America,1988,8846,71.156,31729130
Argentina,S. America,1989,8108,71.353,32187173
Argentina,S. America,1990,7847,71.566,32642442
Argentina,S. America,1991,8576,71.791,33093579
Argentina,S. America,1992,9308,72.024,33540023
Argentina,S. America,1993,9742,72.257,33982035
Argentina,S. America,1994,10207,72.489,34420352
Argentina,S. America,1995,9808,72.719,34855160
Argentina,S. America,1996,10245,72.945,35287113
Argentina,S. America,1997,10967,73.169,35714929
Argentina,S. America,1998,11273,73.39,36134642
Argentina,S. America,1999,10771,73.608,36541029
Argentina,S. America,2000,10571,73.822,36930709
Argentina,S. America,2001,9993,74.033,37302116
Argentina,S. America,2002,8798,74.24,37657340
Argentina,S. America,2003,9481,74.444,38001251
Argentina,S. America,2004,10232,74.645,38340778
Argentina,S. America,2005,11063,74.843,38681174
Argentina,S. America,2006,11866,75.036,39023850
Argentina,S. America,2007,12748,75.225,39368066
Argentina,S. America,2008,13458,75.41,39714298
Argentina,S. America,2009,13421,75.592,40062470
Argentina,S. America,2010,14487,75.772,40412376
Argentina,S. America,2011,15595,75.95,40764561
Argentina,S. America,2012,15714,76.128,41118986
Armenia,Europe,1950,1366,61.965,1353506
Armenia,Europe,1951,1346,62.178,1382982
Armenia,Europe,1952,1406,62.602,1419913
Armenia,Europe,1953,1439,63.024,1463017
Armenia,Europe,1954,1480,63.446,1511188
Armenia,Europe,1955,1575,63.866,1563508
Armenia,Europe,1956,1692,64.285,1619242
Armenia,Europe,1957,1693,64.704,1677837
Armenia,Europe,1958,1784,65.124,1738902
Armenia,Europe,1959,1729,65.545,1802171
Armenia,Europe,1960,1855,65.971,1867396
Armenia,Europe,1961,1927,66.401,1934239
Armenia,Europe,1962,1947,66.837,2002170
Armenia,Europe,1963,1874,67.275,2070427
Armenia,Europe,1964,2087,67.714,2138133
Armenia,Europe,1965,2179,68.151,2204650
Armenia,Europe,1966,2259,68.587,2269475
Armenia,Europe,1967,2334,69.015,2332624
Armenia,Europe,1968,2446,69.425,2394635
Armenia,Europe,1969,2457,69.808,2456370
Armenia,Europe,1970,2621,70.143,2518408
Armenia,Europe,1971,2665,70.411,2580894
Armenia,Europe,1972,2653,70.604,2643464
Armenia,Europe,1973,2849,70.722,2705584
Armenia,Europe,1974,2880,70.774,2766495
Armenia,Europe,1975,2836,70.782,2825650
Armenia,Europe,1976,2917,70.782,2882831
Armenia,Europe,1977,2934,70.797,2938181
Armenia,Europe,1978,2957,70.837,2991954
Armenia,Europe,1979,2893,70.896,3044564
Armenia,Europe,1980,2849,70.936,3096298
Armenia,Europe,1981,2828,70.909,3145885
Armenia,Europe,1982,2849,70.775,3192877
Armenia,Europe,1983,2890,70.518,3239212
Armenia,Europe,1984,2875,70.149,3287588
Armenia,Europe,1985,2851,69.697,3339147
Armenia,Europe,1986,2917,69.204,3396511
Armenia,Europe,1987,2905,68.731,3457054
Armenia,Europe,1988,2918,68.331,3510439
Armenia,Europe,1989,2922,68.037,3542720
Armenia,Europe,1990,2809,67.877,3544695
Armenia,Europe,1991,2437,67.864,3512051
Armenia,Europe,1992,1443,67.979,3449940
Armenia,Europe,1993,1376,68.199,3370373
Armenia,Europe,1994,1499,68.513,3290540
Armenia,Europe,1995,1632,68.91,3223173
Armenia,Europe,1996,1732,69.376,3172185
Armenia,Europe,1997,1791,69.891,3134836
Armenia,Europe,1998,1928,70.43,3109101
Armenia,Europe,1999,1993,70.971,3090624
Armenia,Europe,2000,2114,71.494,3076098
Armenia,Europe,2001,2328,71.981,3065810
Armenia,Europe,2002,2692,72.43,3061067
Armenia,Europe,2003,3079,72.836,3060554
Armenia,Europe,2004,3414,73.192,3062612
Armenia,Europe,2005,3903,73.491,3065954
Armenia,Europe,2006,4413,73.73,3069844
Armenia,Europe,2007,5012,73.92,3074181
Armenia,Europe,2008,5347,74.07,3079087
Armenia,Europe,2009,4545,74.191,3084979
Armenia,Europe,2010,4599,74.291,3092072
Armenia,Europe,2011,4767,74.381,3100236
Armenia,Europe,2012,5059,74.469,3108972
Australia,Oceania,1950,10031,69.02,8177344
Australia,Oceania,1951,10161,68.72,8398540
Australia,Oceania,1952,10040,69.12,8604679
Australia,Oceania,1953,10158,69.7,8804552
Australia,Oceania,1954,10544,69.85,9004634
Australia,Oceania,1955,10865,70.17,9209085
Australia,Oceania,1956,10974,70.05,9419635
Australia,Oceania,1957,10950,70.33,9635700
Australia,Oceania,1958,11241,70.88,9854726
Australia,Oceania,1959,11678,70.45,10072762
Australia,Oceania,1960,11898,70.89,10286184
Australia,Oceania,1961,11712,71.16,10493531
Australia,Oceania,1962,12217,70.93,10697112
Australia,Oceania,1963,12722,70.99,10903699
Australia,Oceania,1964,13330,70.65,11122567
Australia,Oceania,1965,13740,70.98,11359763
Australia,Oceania,1966,13861,70.82,11617580
Australia,Oceania,1967,14526,71.1,11892163
Australia,Oceania,1968,15089,70.73,12175746
Australia,Oceania,1969,15647,71.14,12457299
Australia,Oceania,1970,16273,70.81,12728362
Australia,Oceania,1971,16633,71.41,12987847
Australia,Oceania,1972,16789,71.93,13236895
Australia,Oceania,1973,17430,72.14,13472175
Australia,Oceania,1974,17575,71.89,13690285
Australia,Oceania,1975,17825,72.84,13889696
Australia,Oceania,1976,18351,72.88,14067994
Australia,Oceania,1977,18334,73.49,14227905
Australia,Oceania,1978,18635,73.88,14379565
Australia,Oceania,1979,19381,74.44,14536839
Australia,Oceania,1980,19506,74.6,14709918
Australia,Oceania,1981,19842,74.96,14901610
Australia,Oceania,1982,19477,74.74,15109659
Australia,Oceania,1983,19215,75.55,15332790
Australia,Oceania,1984,20295,76.02,15567927
Australia,Oceania,1985,21040,75.45,15812088
Australia,Oceania,1986,21169,76.13,16066496
Australia,Oceania,1987,21889,76.32,16330369
Australia,Oceania,1988,22508,76.35,16596096
Australia,Oceania,1989,23134,76.45,16853690
Australia,Oceania,1990,23152,77.05,17096153
Australia,Oceania,1991,22894,77.54,17320633
Australia,Oceania,1992,23425,77.54,17529469
Australia,Oceania,1993,24053,78.07,17727413
Australia,Oceania,1994,24780,78.07,17921818
Australia,Oceania,1995,25519,78.45,18118416
Australia,Oceania,1996,26151,78.53,18319637
Australia,Oceania,1997,26998,78.79,18525153
Australia,Oceania,1998,28169,79.28,18734878
Australia,Oceania,1999,28983,79.53,18947894
Australia,Oceania,2000,29242,79.93,19164351
Australia,Oceania,2001,30043,80.27,19382188
Australia,Oceania,2002,30688,80.29,19604051
Australia,Oceania,2003,31634,80.69,19840120
Australia,Oceania,2004,32099,81.04,20103822
Australia,Oceania,2005,32798,81.44,20403520
Australia,Oceania,2006,33204,81.63,20744295
Australia,Oceania,2007,34197,81.67,21119988
Australia,Oceania,2008,34444,81.567,21513817
Australia,Oceania,2009,34389,81.937,21902300
Australia,Oceania,2010,34885,82.091,22268384
Australia,Oceania,2011,35254,82.231,22605732
Australia,Oceania,2012,36065,82.364,22918688
Austria,Europe,1950,5733,64.88,6936445
Austria,Europe,1951,6125,65.26,6930746
Austria,Europe,1952,6137,66.8,6929474
Austria,Europe,1953,6400,67.29,6931618
Austria,Europe,1954,7046,67.32,6936580
Austria,Europe,1955,7817,67.6,6944174
Austria,Europe,1956,8348,67.72,6954658
Austria,Europe,1957,8843,67.48,6968701
Austria,Europe,1958,9137,68.49,6987299
Austria,Europe,1959,9361,68.42,7011632
Austria,Europe,1960,10084,68.78,7042634
Austria,Europe,1961,10561,69.75,7080528
Austria,Europe,1962,10751,69.54,7124432
Austria,Europe,1963,11117,69.67,7172179
Austria,Europe,1964,11706,70.16,7220812
Austria,Europe,1965,11964,69.95,7268015
Austria,Europe,1966,12549,70.26,7312775
Austria,Europe,1967,12835,70.14,7355039
Austria,Europe,1968,13336,70.29,7394601
Austria,Europe,1969,14125,70.06,7431574
Austria,Europe,1970,15079,70.11,7465908
Austria,Europe,1971,15779,70.31,7497731
Austria,Europe,1972,16662,70.63,7526469
Austria,Europe,1973,17379,71.21,7550638
Austria,Europe,1974,18034,71.2,7568347
Austria,Europe,1975,18016,71.33,7578498
Austria,Europe,1976,18874,71.82,7580564
Austria,Europe,1977,19749,72.17,7575669
Austria,Europe,1978,19694,72.25,7566450
Austria,Europe,1979,20803,72.56,7556551
Austria,Europe,1980,21285,72.7,7548798
Austria,Europe,1981,21221,73.02,7544359
Austria,Europe,1982,21597,73.18,7543194
Austria,Europe,1983,22267,73.25,7545472
Austria,Europe,1984,22337,73.79,7550960
Austria,Europe,1985,22821,74.01,7559621
Austria,Europe,1986,23329,74.49,7570906
Austria,Europe,1987,23688,74.93,7585345
Austria,Europe,1988,24371,75.41,7605095
Austria,Europe,1989,25308,75.5,7632984
Austria,Europe,1990,26135,75.77,7670513
Austria,Europe,1991,26744,75.83,7719577
Austria,Europe,1992,27042,76.04,7778255
Austria,Europe,1993,26882,76.27,7839625
Austria,Europe,1994,27463,76.59,7894229
Austria,Europe,1995,27919,76.83,7935624
Austria,Europe,1996,28602,77.1,7960464
Austria,Europe,1997,29096,77.5,7971553
Austria,Europe,1998,30108,77.87,7976117
Austria,Europe,1999,31040,78.05,7984694
Austria,Europe,2000,32009,78.33,8004712
Austria,Europe,2001,32196,78.83,8038480
Austria,Europe,2002,32418,78.96,8083059
Austria,Europe,2003,32741,78.96,8134235
Austria,Europe,2004,33456,79.47,8185553
Austria,Europe,2005,34108,79.64,8232196
Austria,Europe,2006,35177,80.1,8273208
Austria,Europe,2007,36336,80.3,8309783
Austria,Europe,2008,36700,80.51,8341806
Austria,Europe,2009,35200,80.392,8369639
Austria,Europe,2010,35816,80.595,8393644
Austria,Europe,2011,36637,80.785,8413429
Austria,Europe,2012,36732,80.965,8428915
Azerbaijan,Europe,1950,2095,57.135,2895997
Azerbaijan,Europe,1951,2067,57.342,2964962
Azerbaijan,Europe,1952,2161,57.754,3044695
Azerbaijan,Europe,1953,2215,58.166,3132625
Azerbaijan,Europe,1954,2281,58.576,3226823
Azerbaijan,Europe,1955,2431,58.985,3326002
Azerbaijan,Europe,1956,2615,59.394,3429548
Azerbaijan,Europe,1957,2619,59.802,3537490
Azerbaijan,Europe,1958,2764,60.21,3650388
Azerbaijan,Europe,1959,2682,60.62,3769151
Azerbaijan,Europe,1960,2882,61.032,3894494
Azerbaijan,Europe,1961,2993,61.447,4026358
Azerbaijan,Europe,1962,3024,61.865,4163396
Azerbaijan,Europe,1963,2911,62.284,4302765
Azerbaijan,Europe,1964,3242,62.701,4440733
Azerbaijan,Europe,1965,3384,63.117,4574500
Azerbaijan,Europe,1966,3508,63.533,4702919
Azerbaijan,Europe,1967,3625,63.945,4826262
Azerbaijan,Europe,1968,3799,64.342,4944932
Azerbaijan,Europe,1969,3816,64.712,5059921
Azerbaijan,Europe,1970,4072,65.035,5172002
Azerbaijan,Europe,1971,4139,65.287,5281238
Azerbaijan,Europe,1972,4121,65.457,5387375
Azerbaijan,Europe,1973,4425,65.545,5490572
Azerbaijan,Europe,1974,4488,65.554,5591016
Azerbaijan,Europe,1975,4437,65.496,5688997
Azerbaijan,Europe,1976,4579,65.387,5784587
Azerbaijan,Europe,1977,4622,65.254,5878259
